組付数,459,,,,,,,,
組付番号,親部品,子部品,組立部品,ASP,,,０度方向,組付方向,接触線番号
,,,,ASP-X,ASP-Y,ASP-Z,,,
206,138,8,105,0,90,1040,奥下,上,13
207,140,8,104,0,90,1040,奥下,上,13
208,161,8,134,0,90,1040,奥下,上,13
209,194,8,178,0,90,1040,奥下,上,13
210,206,8,193,0,90,1040,奥下,上,13
211,136,8,109,0,90,1040,奥下,上,13
212,133,8,100,0,90,1040,奥下,上,13
213,137,8,103,0,90,1040,奥下,上,13
214,143,8,113,0,90,1040,奥下,上,13
215,184,8,164,0,90,1040,奥下,上,13
216,182,8,162,0,90,1040,奥下,上,13
217,204,8,185,0,90,1040,奥下,上,13
218,172,8,147,0,90,1040,奥下,上,13
219,14,8,231,0,90,1040,奥下,上,13
220,192,8,175,0,90,1040,奥下,上,13
221,165,8,150,0,90,1040,奥下,上,13
222,166,8,142,0,90,1040,奥下,上,13
223,163,8,135,0,90,1040,奥下,上,13
224,174,8,146,0,90,1040,奥下,上,13
225,173,8,145,0,90,1040,奥下,上,13
226,34,9,21,0,90,1040,左下,上,14
227,43,9,24,0,90,1040,左下,上,14
228,35,9,27,0,90,1040,左下,上,14
229,194,9,165,0,90,1040,左下,上,14
230,184,9,173,0,90,1040,左下,上,14
231,172,9,138,0,90,1040,左下,上,14
232,174,9,143,0,90,1040,左下,上,14
233,179,9,160,0,90,1040,左下,上,14
234,206,9,192,0,90,1040,左下,上,14
235,23,9,18,0,90,1040,左下,上,14
236,26,9,19,0,90,1040,左下,上,14
237,20,9,16,0,90,1040,左下,上,14
238,177,9,155,0,90,1040,左下,上,14
239,111,9,96,0,90,1040,左下,上,14
240,131,9,99,0,90,1040,左下,上,14
241,106,9,73,0,90,1040,左下,上,14
242,198,9,181,0,90,1040,左下,上,14
243,166,9,136,0,90,1040,左下,上,14
244,161,9,133,0,90,1040,左下,上,14
245,182,9,163,0,90,1040,左下,上,14
246,54,9,41,0,90,1040,左下,上,14
247,68,9,40,0,90,1040,左下,上,14
248,64,9,44,0,90,1040,左下,上,14
249,140,9,102,0,90,1040,左下,上,14
250,151,9,126,0,90,1040,左下,上,14
251,137,9,101,0,90,1040,左下,上,14
252,232,9,225,0,90,1040,左下,上,14
253,157,9,132,0,90,1040,左下,上,14
254,228,9,218,0,90,1040,左下,上,14
255,59,9,36,0,90,1040,左下,上,14
256,51,9,30,0,90,1040,左下,上,14
257,72,9,58,0,90,1040,左下,上,14
258,222,9,204,0,90,1040,左下,上,14
259,17,9,15,0,90,1040,左下,上,14
260,14,9,230,0,90,1040,左下,上,14
261,42,9,28,0,90,1040,左下,上,14
262,139,9,107,0,90,1040,左下,上,14
263,32,9,25,0,90,1040,左下,上,14
264,98,9,67,0,90,1040,左下,上,14
265,80,9,65,0,90,1040,左下,上,14
266,98,10,64,0,90,1040,奥下,上,15
267,18,10,15,0,90,1040,奥下,上,15
268,160,10,132,0,90,1040,奥下,上,15
269,23,10,17,0,90,1040,奥下,上,15
270,28,10,19,0,90,1040,奥下,上,15
271,151,10,111,0,90,1040,奥下,上,15
272,21,10,16,0,90,1040,奥下,上,15
273,36,10,27,0,90,1040,奥下,上,15
274,40,10,24,0,90,1040,奥下,上,15
275,34,10,20,0,90,1040,奥下,上,15
276,126,10,96,0,90,1040,奥下,上,15
277,179,10,157,0,90,1040,奥下,上,15
278,59,10,35,0,90,1040,奥下,上,15
279,42,10,26,0,90,1040,奥下,上,15
280,67,10,44,0,90,1040,奥下,上,15
281,68,10,43,0,90,1040,奥下,上,15
282,230,11,220,0,90,1040,前上,上,17
283,228,11,216,0,90,1040,前上,上,17
284,232,11,219,0,90,1040,前上,上,17
285,96,11,63,0,90,1040,前上,上,17
286,198,11,176,0,90,1040,前上,上,17
287,14,11,229,0,90,1040,前上,上,17
288,225,11,205,0,90,1040,前上,上,17
289,177,11,149,0,90,1040,前上,上,17
290,179,11,156,0,90,1040,前上,上,17
291,181,11,152,0,90,1040,前上,上,17
292,222,11,202,0,90,1040,前上,上,17
293,151,11,125,0,90,1040,前上,上,17
294,160,11,114,0,90,1040,前上,上,17
295,155,11,120,0,90,1040,前上,上,17
296,218,11,200,0,90,1040,前上,上,17
297,157,11,129,0,90,1040,前上,上,17
298,111,11,89,0,90,1040,前上,上,17
299,204,11,183,0,90,1040,前上,上,17
300,126,11,83,0,90,1040,前上,上,17
301,132,11,82,0,90,1040,前上,上,17
302,58,12,30,0,90,1040,奥下,上,18
303,59,12,34,0,90,1040,奥下,上,18
304,19,12,15,0,90,1040,奥下,上,18
305,41,12,25,0,90,1040,奥下,上,18
306,35,12,20,0,90,1040,奥下,上,18
307,232,12,222,0,90,1040,奥下,上,18
308,44,12,24,0,90,1040,奥下,上,18
309,36,12,21,0,90,1040,奥下,上,18
310,14,12,228,0,90,1040,奥下,上,18
311,26,12,17,0,90,1040,奥下,上,18
312,42,12,23,0,90,1040,奥下,上,18
313,27,12,16,0,90,1040,奥下,上,18
314,67,12,40,0,90,1040,奥下,上,18
315,64,12,43,0,90,1040,奥下,上,18
316,28,12,18,0,90,1040,奥下,上,18
317,54,12,32,0,90,1040,奥下,上,18
318,194,12,174,0,90,1040,奥下,上,18
319,192,12,173,0,90,1040,奥下,上,18
320,198,12,177,0,90,1040,奥下,上,18
321,160,12,126,0,90,1040,奥下,上,18
322,98,12,68,0,90,1040,奥下,上,18
323,230,12,218,0,90,1040,奥下,上,18
324,138,12,102,0,90,1040,奥下,上,18
325,225,12,204,0,90,1040,奥下,上,18
326,136,12,101,0,90,1040,奥下,上,18
327,157,12,111,0,90,1040,奥下,上,18
328,107,12,73,0,90,1040,奥下,上,18
329,182,12,161,0,90,1040,奥下,上,18
330,132,12,96,0,90,1040,奥下,上,18
331,131,12,80,0,90,1040,奥下,上,18
332,99,12,65,0,90,1040,奥下,上,18
333,165,12,143,0,90,1040,奥下,上,18
334,172,12,140,0,90,1040,奥下,上,18
335,179,12,151,0,90,1040,奥下,上,18
336,163,12,133,0,90,1040,奥下,上,18
337,166,12,137,0,90,1040,奥下,上,18
338,72,12,51,0,90,1040,奥下,上,18
339,139,12,106,0,90,1040,奥下,上,18
340,206,12,184,0,90,1040,奥下,上,18
341,181,12,155,0,90,1040,奥下,上,18
342,65,13,30,0,90,1040,前上,上,16
343,64,13,35,0,90,1040,前上,上,16
344,143,13,101,0,90,1040,前上,上,16
345,67,13,36,0,90,1040,前上,上,16
346,68,13,34,0,90,1040,前上,上,16
347,44,13,27,0,90,1040,前上,上,16
348,206,13,182,0,90,1040,前上,上,16
349,40,13,21,0,90,1040,前上,上,16
