製品名,Eモダン,,,,,,,,,,,,,,,
組付け数,459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
組付け番号,部品1,部品2,組立部品,部品非対称,位置決め複数,視認性・X+,視認性・Z+,視認性・親子逆・X+,視認性・親子逆・Z+,接触有効空間（可）,接触有効空間（不可）,接触点,特殊組付け,方向注意,組付け力,組付け不可
123,5,219,213,0,0,0,1,0,0,0,0,0,1,0,1,0
124,5,11,233,0,0,0,1,0,0,0,0,0,0,0,0,0
125,5,129,84,0,0,0,1,0,0,0,0,0,1,0,1,0
126,5,120,95,0,0,0,1,0,0,0,0,0,1,0,1,0
127,5,125,90,0,0,0,1,0,0,0,0,0,1,0,1,0
128,5,83,56,0,0,0,1,0,0,0,0,0,1,0,1,0
129,6,133,101,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6,192,165,0,0,0,0,0,0,0,0,0,0,0,0,0
131,6,155,126,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6,140,106,0,0,0,0,0,0,0,0,0,0,0,0,0
133,6,138,107,0,0,0,0,0,0,0,0,0,0,0,0,0
134,6,182,166,0,0,0,0,0,0,0,0,0,0,0,0,0
135,6,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0
136,6,206,194,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6,198,179,0,0,0,0,0,0,0,0,0,0,0,0,0
138,6,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0
139,6,131,98,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6,184,174,0,0,0,0,0,0,0,0,0,0,0,0,0
141,6,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0
142,6,102,73,0,0,0,0,0,0,0,0,0,0,0,0,0
143,6,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0
144,6,181,160,0,0,0,0,0,0,0,0,0,0,0,0,0
145,6,173,143,0,0,0,0,0,0,0,0,0,0,0,0,0
146,6,172,139,0,0,0,0,0,0,0,0,0,0,0,0,0
147,6,161,137,0,0,0,0,0,0,0,0,0,0,0,0,0
148,6,163,136,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6,177,151,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6,14,232,0,0,0,0,0,0,0,0,0,0,0,0,0
151,6,10,235,0,0,0,0,0,0,1,0,0,0,0,0,0
152,6,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0
153,6,228,222,0,0,0,0,0,0,0,0,0,0,0,0,0
154,6,230,225,0,0,0,0,0,0,0,0,0,0,0,0,0
155,6,218,204,0,0,0,0,0,0,0,0,0,0,0,0,0
156,6,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0
157,6,80,68,0,0,0,0,0,0,0,0,0,0,0,0,0
158,6,72,59,0,0,0,0,0,0,0,0,0,0,0,0,0
159,6,54,42,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6,99,67,0,0,0,0,0,0,0,0,0,0,0,0,0
161,6,58,36,0,0,0,0,0,0,0,0,0,0,0,0,0
162,7,146,121,0,0,0,1,0,0,0,0,0,0,1,0,0
163,7,150,127,0,0,0,1,0,0,0,0,0,0,1,0,0
164,7,147,118,0,0,0,1,0,0,0,0,0,0,1,0,0
165,7,145,116,0,0,0,1,0,0,0,0,0,0,1,0,0
166,7,134,108,0,0,0,1,0,0,0,0,0,0,1,0,0
167,7,46,33,0,0,0,1,0,0,0,0,0,0,1,0,0
168,7,142,112,0,0,0,1,0,0,0,0,0,0,1,0,0
169,7,135,110,0,0,0,1,0,0,0,0,0,0,1,0,0
170,7,207,196,0,0,0,1,0,0,0,0,0,0,1,0,0
171,7,76,50,0,0,0,1,0,0,0,0,0,0,1,0,0
172,7,231,226,0,0,0,1,0,0,0,0,0,0,1,0,0
173,7,162,141,0,0,0,1,0,0,0,0,0,0,1,0,0
174,7,71,45,0,0,0,1,0,0,0,0,0,0,1,0,0
175,7,70,48,0,0,0,1,0,0,0,0,0,0,1,0,0
176,7,79,49,0,0,0,1,0,0,0,0,0,0,1,0,0
177,7,217,203,0,0,0,1,0,0,0,0,0,0,1,0,0
178,7,221,210,0,0,0,1,0,0,0,0,0,0,1,0,0
179,7,224,211,0,0,0,1,0,0,0,0,0,0,1,0,0
180,7,164,144,0,0,0,1,0,0,0,0,0,0,1,0,0
181,7,175,154,0,0,0,1,0,0,0,0,0,0,1,0,0
182,7,178,159,0,0,0,1,0,0,0,0,0,0,1,0,0
183,7,104,75,0,0,0,1,0,0,0,0,0,0,1,0,0
184,7,193,170,0,0,0,1,0,0,0,0,0,0,1,0,0
185,7,113,88,0,0,0,1,0,0,0,0,0,0,1,0,0
186,7,185,168,0,0,0,1,0,0,0,0,0,0,1,0,0
187,7,119,81,0,0,0,1,0,0,0,0,0,0,1,0,0
188,7,105,74,0,0,0,1,0,0,0,0,0,0,1,0,0
189,7,109,85,0,0,0,1,0,0,0,0,0,0,1,0,0
190,7,100,69,0,0,0,1,0,0,0,0,0,0,1,0,0
191,7,208,186,0,0,0,1,0,0,0,0,0,0,1,0,0
192,7,209,189,0,0,0,1,0,0,0,0,0,0,1,0,0
193,7,103,78,0,0,0,1,0,0,0,0,0,0,1,0,0
194,8,232,224,0,0,0,1,0,0,0,0,0,0,0,0,0
195,8,230,221,0,0,0,1,0,0,0,0,0,0,0,0,0
196,8,73,46,0,0,0,1,0,0,0,0,0,0,0,0,0
197,8,228,217,0,0,0,1,0,0,0,0,0,0,0,0,0
198,8,101,71,0,0,0,1,0,0,0,0,0,0,0,0,0
199,8,102,70,0,0,0,1,0,0,0,0,0,0,0,0,0
200,8,106,79,0,0,0,1,0,0,0,0,0,0,0,0,0
201,8,107,76,0,0,0,1,0,0,0,0,0,0,0,0,0
202,8,225,207,0,0,0,1,0,0,0,0,0,0,0,0,0
203,8,222,209,0,0,0,1,0,0,0,0,0,0,0,0,0
204,8,218,208,0,0,0,1,0,0,0,0,0,0,0,0,0
205,8,139,119,0,0,0,1,0,0,0,0,0,0,0,0,0
206,8,138,105,0,0,0,1,0,0,0,0,0,0,0,0,0
207,8,140,104,0,0,0,1,0,0,0,0,0,0,0,0,0
208,8,161,134,0,0,0,1,0,0,0,0,0,0,0,0,0
209,8,194,178,0,0,0,1,0,0,0,0,0,0,0,0,0
210,8,206,193,0,0,0,1,0,0,0,0,0,0,0,0,0
