両手2部品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,,存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ
大物組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,
要援助品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,
1,1,1,59,1,0
1,1,2,166,1,0
1,1,3,163,1,0
1,1,4,182,1,0
1,1,5,51,1,0
1,1,6,58,1,0
1,1,7,161,1,0
1,1,8,133,1,0
1,1,9,215,1,0
1,1,10,101,1,0
1,1,11,72,1,0
1,1,12,136,1,0
1,1,13,137,1,0
1,1,14,30,1,0
1,1,15,34,1,0
1,1,16,36,1,0
1,1,17,20,1,0
1,1,18,16,1,0
1,1,19,35,1,0
1,1,20,13,1,0
1,1,21,21,1,0
1,1,22,27,1,0
工具
存在フラグ,接触線番号,組付け番号,親部品,子部番号,工具名,工具パターン
1,9,108,63,5,-10,-2
1,9,109,202,5,-10,-2
1,9,110,89,5,-10,-2
1,9,111,176,5,-10,-2
1,9,112,205,5,-10,-2
1,9,113,156,5,-10,-2
1,9,114,183,5,-10,-2
1,9,115,149,5,-10,-2
1,9,116,152,5,-10,-2
1,9,117,82,5,-10,-2
1,9,118,220,5,-10,-2
1,9,119,216,5,-10,-2
1,9,120,229,5,-10,-2
1,9,121,200,5,-10,-2
1,9,122,114,5,-10,-2
1,9,123,219,5,-10,-2
1,8,124,11,5,-10,-2
1,9,125,129,5,-10,-2
1,9,126,120,5,-10,-2
1,9,127,125,5,-10,-2
1,9,128,83,5,-10,-2
1,18,302,58,12,-10,-2
1,18,303,59,12,-10,-2
1,18,304,19,12,-10,-2
1,18,305,41,12,-10,-2
1,18,306,35,12,-10,-2
1,18,307,232,12,-10,-2
1,18,308,44,12,-10,-2
1,18,309,36,12,-10,-2
1,18,310,14,12,-10,-2
1,18,311,26,12,-10,-2
1,18,312,42,12,-10,-2
1,18,313,27,12,-10,-2
1,18,314,67,12,-10,-2
1,18,315,64,12,-10,-2
1,18,316,28,12,-10,-2
1,18,317,54,12,-10,-2
1,18,318,194,12,-10,-2
1,18,319,192,12,-10,-2
1,18,320,198,12,-10,-2
1,18,321,160,12,-10,-2
1,18,322,98,12,-10,-2
1,18,323,230,12,-10,-2
1,18,324,138,12,-10,-2
1,18,325,225,12,-10,-2
1,18,326,136,12,-10,-2
1,18,327,157,12,-10,-2
1,18,328,107,12,-10,-2
1,18,329,182,12,-10,-2
1,18,330,132,12,-10,-2
1,18,331,131,12,-10,-2
1,18,332,99,12,-10,-2
1,18,333,165,12,-10,-2
1,18,334,172,12,-10,-2
1,18,335,179,12,-10,-2
1,18,336,163,12,-10,-2
1,18,337,166,12,-10,-2
1,18,338,72,12,-10,-2
1,18,339,139,12,-10,-2
1,18,340,206,12,-10,-2
1,18,341,181,12,-10,-2
