組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
41,1,2,95,65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,7,8,9,0,11,12,0,14,0,2,3,4,5,0,7,8,9,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,171,143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,9,0,11,12,0,14,0,2,0,0,5,6,0,0,9,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,39,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,9,10,11,12,0,14,0,2,3,4,5,6,7,8,9,10,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,3,196,180,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,9,0,0,0,0,14,0,0,3,0,0,6,7,8,9,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,1,3,144,122,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,0,0,11,12,0,14,0,2,3,0,5,0,7,8,0,0,11,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,3,186,167,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,0,12,0,14,0,0,3,0,0,0,7,8,9,0,0,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,1,3,168,148,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,9,0,0,12,0,14,0,0,3,0,0,6,7,8,9,0,0,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1,3,170,158,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,0,0,11,0,0,14,0,2,3,0,5,0,7,8,0,0,11,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1,3,189,169,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,12,0,14,0,0,3,0,0,6,7,8,0,0,0,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1,3,154,115,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,9,0,11,0,0,14,0,2,3,0,5,0,7,8,9,0,11,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,1,3,159,128,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,0,0,11,0,0,14,0,2,3,0,5,6,7,8,0,0,11,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,1,3,78,52,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,0,0,11,12,13,14,0,2,3,0,5,6,7,8,0,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1,3,69,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,9,0,11,12,13,14,0,2,3,0,5,0,7,8,9,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1,3,85,57,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,9,0,11,0,13,14,0,2,3,0,5,6,7,8,9,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,3,75,55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,7,8,0,0,11,12,13,14,1,2,3,0,5,0,7,8,0,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1,3,88,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,9,0,11,12,0,14,0,2,3,0,5,6,7,8,9,0,11,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,3,45,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,9,0,11,12,13,14,0,2,3,0,5,6,7,8,9,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1,3,33,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,6,7,8,9,0,11,12,13,14,1,2,3,0,5,6,7,8,9,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,3,48,31,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,7,8,9,0,11,12,13,14,1,2,3,0,5,0,7,8,9,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,1,3,50,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,6,7,8,9,0,11,0,13,14,1,2,3,0,5,6,7,8,9,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,1,3,49,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,6,7,8,0,0,11,12,13,14,1,2,3,0,5,6,7,8,0,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,1,3,121,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,0,0,11,12,0,14,0,2,3,0,5,6,7,8,0,0,11,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,3,116,92,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,9,0,11,12,0,14,0,2,3,0,5,0,7,8,9,0,11,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,1,3,127,94,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,9,0,11,0,0,14,0,2,3,0,5,6,7,8,9,0,11,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,1,3,141,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,0,0,11,0,13,14,0,2,3,0,5,0,7,8,0,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,1,3,118,93,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,7,8,0,0,11,0,13,14,1,2,3,0,5,0,7,8,0,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1,3,81,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,6,7,8,0,0,11,0,13,14,1,2,3,0,5,6,7,8,0,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,1,3,74,53,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,7,8,9,0,11,0,13,14,1,2,3,0,5,0,7,8,9,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
